ADAIR,ADAMS,ALLAMAKEE,APPANOOSE,AUDUBON,BENTON,BLACK HAWK,BOONE,BREMER,BUCHANAN,BUENA VISTA,BUTLER,CALHOUN,CARROLL,CASS,CEDAR,CERRO GORDO,CHEROKEE,CHICKASAW,CLARKE,CLAY,CLAYTON,CLINTON,CRAWFORD,DALLAS,DAVIS,DECATUR,DELAWARE,DES MOINES,DICKINSON,DUBUQUE,EL PASO,EMMET,FAYETTE,FLOYD,FRANKLIN,FREMONT,GREENE,GRUNDY,GUTHRIE,HAMILTON,HANCOCK,HARDIN,HARRISON,HENRY,HOWARD,HUMBOLDT,IDA,IOWA,JACKSON,JASPER,JEFFERSON,JOHNSON,JONES,KEOKUK,KOSSUTH,LEE,LINN,LOUISA,LUCAS,LYON,MADISON,MAHASKA,MARION,MARSHALL,MILLS,MITCHELL,MONONA,MONROE,MONTGOMERY,MUSCATINE,O'BRIEN,OSCEOLA,PAGE,PALO ALTO,PLYMOUTH,POCAHONTAS,POLK,POTTAWATTAMIE,POWESHIEK,RINGGOLD,SAC,SCOTT,SHELBY,SIOUX,STORY,TAMA,TAYLOR,UNION,VAN BUREN,WAPELLO,WARREN,WASHINGTON,WAYNE,WEBSTER,WINNEBAGO,WINNESHIEK,WOODBURY,WORTH,WRIGHT,m_sin,m_cos,t
46837.33,11571.14,78751.98,64898.52,22304.62,60720.93,1511012.8,164340.4,176931.1,127390.53,156610.6,23000.76,31879.92,306790.5,132587.92,37908.54,532574.6,82101.74,44106.42,59474.72,157296.62,53646.85,331423.06,90077.91,440689.62,8798.06,13289.24,97979.57,325764.72,267545.03,853639.25,1.0,91349.95,101170.39,132152.78,57657.33,2600.08,31504.71,25479.41,25960.97,87850.68,25761.19,194375.11,50445.72,112531.4,77905.92,60694.35,40580.53,176722.9,128168.74,176724.34,71107.7,1585758.8,126168.62,12414.29,137093.67,322681.62,2277869.8,19611.15,33893.86,65018.66,96615.58,88449.81,172155.45,224269.1,30137.47,46081.89,50570.58,25568.95,62386.48,327809.72,119487.85,19632.95,134877.78,55285.72,156714.94,28251.21,5620903.5,980058.4,117731.34,15155.15,39192.48,1959093.8,52358.54,147627.52,692670.3,54222.41,10324.68,87717.1,18113.17,251426.83,201282.84,100993.14,20605.61,250691.52,64153.06,148872.98,914147.8,35618.63,57372.86,-2.4492937e-16,1.0,11
27587.17,5915.83,45544.5,55134.28,10550.9,69343.52,1018589.94,111459.98,97386.49,94236.38,110380.74,21814.48,27796.78,106281.05,54327.49,49690.31,347764.25,57541.0,31877.24,37419.71,98377.21,35587.4,216306.6,72261.33,233077.05,7235.83,15759.25,59915.89,203810.66,227012.4,494476.62,1.0,40134.37,81247.39,59961.57,35297.24,1760.08,21681.61,20799.18,17814.29,59626.06,20523.88,110765.38,35063.44,82778.15,45945.22,34856.98,36399.2,126891.51,85016.13,135193.45,43176.96,1070806.6,66892.66,12920.55,124675.49,205221.4,1717042.2,22015.65,16478.4,50924.93,27822.1,72672.01,133290.14,190599.34,44289.87,28057.32,46776.65,20728.07,40852.72,183686.39,99343.24,16084.03,79478.57,54093.68,88979.13,31352.25,4026334.0,558877.3,99821.52,11572.85,43003.21,1188982.6,35693.11,101960.95,597507.3,42946.38,6262.86,73550.73,18703.89,203471.22,126012.65,98856.59,12553.88,232424.9,52000.84,85007.43,564429.3,17423.97,42066.31,0.5,0.8660254,12
24867.77,6769.14,53361.01,44130.75,13031.5,45122.24,1125250.6,134896.62,102972.0,87602.82,141288.52,16096.87,25112.29,121140.22,81804.49,28296.38,328844.7,50413.98,23428.08,39349.94,99092.13,28844.96,245743.12,94130.19,325605.06,7063.31,11441.41,62739.25,216012.77,147837.62,583842.7,1.0,63158.43,88106.09,80188.55,35180.54,844.0,20575.48,19664.52,18670.37,60526.13,18342.96,118233.67,26174.06,70549.14,53205.22,52270.47,31589.8,113191.66,76424.43,127214.9,44583.72,1122669.0,79792.71,8748.29,121041.27,200724.83,1708782.6,16090.61,48278.07,42783.3,44120.64,63759.96,127732.49,177559.16,27331.9,35502.16,38066.9,15159.05,42185.47,181520.31,86155.21,14416.06,82133.8,47685.99,103551.16,29453.21,3845406.5,663421.06,98487.95,8570.75,32985.16,1303982.8,44433.87,142959.88,602170.4,40699.55,6916.06,64746.55,11588.09,187323.28,134400.0,93361.51,10365.46,220833.17,47398.46,95049.11,624190.06,17595.44,48962.84,0.8660254,0.5,13
29959.76,7782.27,53040.6,70768.04,9496.73,45504.62,1182390.6,98683.18,118129.48,96774.45,108152.13,17748.39,23587.28,115168.74,60842.87,27546.51,340425.6,55637.81,24840.99,34285.53,88441.24,41021.28,249249.27,86910.7,295973.2,7501.43,11226.13,61724.4,218609.42,181084.02,585685.5,1.0,48577.37,74169.87,75791.46,32245.65,4698.1,22677.49,19572.31,17433.13,53795.88,21679.94,108694.41,33257.82,70527.49,53871.44,40000.59,32126.67,116351.3,91419.56,124874.15,47353.08,1013007.25,79321.7,6901.75,113332.41,231285.67,1768352.1,17240.73,20994.91,41999.13,43051.81,70897.24,119527.1,191770.7,24705.64,31877.5,37598.21,20060.31,36284.06,208944.19,84970.68,17448.31,74270.91,56236.25,98873.7,25541.92,3884021.5,720185.8,92821.14,7722.73,31646.5,1360240.5,43607.2,89529.22,526717.5,37445.19,6735.16,68783.41,14866.86,189800.08,121056.47,83726.82,12566.6,208138.14,49338.61,88855.26,639341.7,14008.59,44993.6,1.0,6.123234e-17,14
34525.42,9158.46,70871.18,50798.49,14851.94,45319.52,1348862.6,131634.45,155860.17,86410.18,113449.26,20514.9,26230.94,211809.77,101788.17,28686.76,496638.72,58351.92,27839.26,48229.45,123882.46,47641.55,306892.84,78733.42,461585.62,6782.03,13689.04,84983.03,292194.12,252242.69,651636.56,1.0,48241.74,108740.31,97316.28,44485.66,3402.88,25226.53,33300.65,19532.19,72330.18,20654.14,147859.86,31440.5,64444.74,69742.39,40417.94,29532.13,123837.56,99172.34,118095.86,74091.68,1467149.1,106855.78,15175.21,129773.93,311691.34,1694537.6,16815.53,28559.45,42124.2,54953.83,55095.16,132894.73,228595.08,29566.19,51596.18,46088.56,17007.02,59384.89,269389.88,91185.04,13962.46,103631.53,49765.56,165198.9,24693.91,4761605.0,857455.2,97840.19,10055.26,35577.95,1617424.1,81216.59,146315.84,820072.75,34423.02,8718.45,75376.99,10380.65,170730.39,172587.11,84576.01,9660.39,251290.2,63404.42,105071.25,785144.3,23117.66,45980.22,0.8660254,-0.5,15
27908.69,6390.06,70214.15,73410.0,15043.93,64103.84,1220547.6,143644.81,144556.67,139278.44,178643.02,14240.85,32823.63,178327.66,74183.38,41458.81,455583.22,78215.95,29837.95,47044.67,134250.7,45521.27,264369.2,102849.95,339665.0,8814.53,15433.05,77431.79,226400.19,431735.97,628157.0,1.0,104640.7,88201.02,80048.5,38049.54,2107.66,24242.56,20517.19,23307.35,85326.91,24138.64,142285.25,42436.53,98348.88,51786.43,57059.1,37140.7,168884.08,98444.1,150626.56,61973.73,1215454.6,102170.49,15918.52,126390.83,217902.1,2094291.6,23041.22,29946.97,54518.49,46966.26,78488.13,186964.81,221820.48,35381.29,34779.9,45319.92,35115.02,33032.61,252494.0,136649.1,22181.33,70121.28,48741.45,118426.49,32969.86,5096061.0,759810.8,127944.94,6709.03,47388.97,1619563.5,55297.47,106065.12,546848.4,59380.34,7767.83,69765.74,14576.6,259334.94,200525.5,123249.27,4364.02,300066.3,49370.78,104826.43,768292.56,17040.88,58168.4,0.5,-0.8660254,16
32498.01,5958.21,60031.81,63519.83,13676.76,51051.62,1186800.8,106049.72,141994.69,96487.41,152516.31,21885.22,28174.99,154691.03,71127.18,33198.39,438244.1,48721.37,25417.44,45214.83,104091.85,47412.47,232332.2,88954.13,281548.06,6447.59,12831.72,78431.66,256205.6,452825.56,605567.75,1.0,34636.34,72508.04,69889.03,34613.6,3121.54,19607.8,18390.88,22547.36,55460.14,16775.5,102075.71,30437.41,94018.21,54236.74,49880.93,32018.73,125318.06,100032.57,137448.62,55156.01,982750.5,72336.75,8375.0,163816.7,196610.34,1803717.9,16190.84,21688.83,53817.3,44798.81,63417.26,124012.81,211201.1,38288.0,32532.95,37475.78,17428.31,39528.98,201018.34,82422.28,20618.66,80189.45,45741.37,96715.69,20634.64,4471151.0,721996.75,95562.06,11864.72,45774.7,1487513.6,46509.08,88053.74,487553.3,38011.12,7295.86,75313.33,13189.33,177260.31,139630.8,93652.67,3603.4,231351.88,46443.11,98664.72,729616.75,16534.76,46834.72,1.2246469e-16,-1.0,17
33870.84,11792.15,93114.77,69674.39,13987.67,51141.17,1159268.4,176969.8,159412.23,124415.53,142459.7,23484.55,36819.83,190418.5,91648.9,35746.01,542089.1,83520.59,33149.69,42572.1,143002.84,65548.68,272589.06,75691.8,359188.56,9445.85,11684.87,88796.78,296588.03,581293.8,724652.8,1.0,47967.78,104385.18,114556.24,40183.62,2228.23,27305.07,36293.65,35762.12,74254.12,24826.59,154167.5,44238.72,82283.42,73968.2,51062.73,40626.37,135023.9,115679.08,152290.47,103280.22,1141613.4,119466.73,7080.83,174900.7,277539.78,1934412.9,21535.25,25008.95,64983.3,52684.21,83759.76,199035.19,209786.06,50591.6,43486.12,52315.69,27468.49,47719.15,233224.52,95324.16,21232.26,92233.29,71690.97,132312.12,28563.66,4674391.0,795986.3,125397.54,10629.08,53363.44,1648867.4,51298.75,156124.45,651837.8,52704.59,11743.41,90039.44,19143.98,230486.56,130733.41,115247.53,5260.57,280310.84,75516.8,132441.75,814109.0,19478.76,58697.94,-0.5,-0.8660254,18
31962.66,6849.48,58033.87,83380.04,12971.27,54891.91,1329515.5,140626.69,125121.28,93911.52,145531.39,23291.05,25441.06,255970.81,58625.34,39187.28,414132.6,71748.75,25670.78,44293.0,115129.91,50980.16,308632.72,92388.35,510970.94,6998.01,14334.88,61421.3,251827.08,432414.38,602851.7,1.0,37101.4,79892.85,62545.9,35235.3,1334.92,23863.78,23291.0,24356.61,57602.84,20893.58,117121.73,31311.02,85742.39,54055.28,42697.04,34809.16,135150.28,89277.13,136035.48,51066.39,1497849.4,120159.98,11611.84,117385.96,226336.19,1850278.8,19760.6,29560.67,52340.42,45004.73,68586.92,153127.14,209998.88,33667.33,40299.1,42212.3,21543.72,42687.98,201364.16,86214.28,16663.34,94077.68,51673.69,115844.01,27664.33,4927031.0,692759.25,97749.88,20201.92,46196.82,1474488.1,83591.44,111272.95,633408.8,42527.37,6729.99,63459.4,11689.97,164247.48,198065.62,96832.58,8149.0,228784.98,48539.51,92915.7,608025.56,15827.55,52356.82,-0.8660254,-0.5,19
31823.59,6430.8,52551.17,61448.86,12333.64,57448.37,1110192.8,115494.64,118716.45,96775.71,107327.88,19338.28,24302.49,150429.69,114866.93,31399.28,468646.0,47951.08,29407.47,38404.12,120905.44,51301.21,239100.14,78329.66,400385.84,6592.77,12840.22,93535.31,249651.69,235616.7,566820.5,1.0,31178.5,83890.9,69626.22,41181.88,2761.9,29543.04,23353.48,24103.35,56639.67,20844.64,121274.66,39545.24,88643.83,53294.41,34271.79,31085.93,129113.33,113130.17,137601.62,64323.91,1276771.9,101601.55,9398.17,100207.12,235542.34,1680355.0,21199.87,19175.88,49447.66,40116.24,79203.28,131921.97,182909.22,36946.57,32139.76,39463.18,22409.03,34353.18,208904.38,78321.9,16655.59,75873.17,42460.07,97816.17,25633.28,4010031.8,750300.1,100107.91,12176.28,39393.08,1291361.8,54923.23,102924.76,653214.94,38106.97,7268.3,71090.88,22203.9,161126.23,122507.3,115824.27,3473.8,181784.44,53890.67,105524.95,562019.5,20184.7,43163.12,-1.0,-1.8369701e-16,20
28310.94,7110.41,116384.36,75968.38,17146.24,81268.13,1851826.1,212476.9,289420.16,157819.4,257808.97,19921.06,29807.18,373256.06,162321.73,67913.83,639556.7,86108.3,36147.55,60931.18,180658.06,39168.18,432291.44,263555.12,699356.25,10322.2,20153.41,107906.1,348256.47,311000.78,1033912.8,1.0,118565.87,138558.62,116579.79,45149.0,1292.26,29093.87,20361.58,19587.55,102150.67,25334.69,170547.84,41528.03,142478.95,87084.06,100830.06,34756.82,219552.2,99022.82,158958.42,74814.77,2012130.5,114275.07,13092.57,184490.86,326088.44,3131600.0,17477.34,45644.53,55509.15,73217.85,108423.62,225407.27,393467.12,51653.85,37142.16,46513.73,26108.69,65981.6,377046.94,168370.16,20907.21,193963.77,64551.02,212797.94,38108.57,6758898.0,1057739.6,150999.12,13455.52,46435.7,2197734.5,107628.44,205309.56,1068562.8,64805.84,9488.98,111331.3,15260.98,302275.5,278705.7,131975.06,5774.7,414825.94,57942.27,192247.56,1099613.2,15923.2,55981.87,-0.8660254,0.5,21
32603.79,7171.66,53165.69,60755.9,10139.47,46627.55,1085396.9,118797.32,98423.83,83470.47,108022.07,16298.91,27180.8,108175.99,70440.85,34102.01,328085.0,48485.7,26083.46,44598.92,89277.01,33159.55,213635.11,63484.45,267433.72,4945.38,14860.44,46548.75,196493.38,162969.98,553122.25,1.0,29973.21,68610.41,60491.83,31773.98,2149.72,29796.64,19961.08,11610.94,54771.57,18279.33,106706.55,31460.87,66428.62,53036.27,52167.44,31656.79,86985.52,81102.61,132038.62,50292.64,1070725.2,73167.08,12358.83,123149.53,212115.27,1526450.4,12801.94,24955.72,53528.71,37851.67,65746.43,137051.12,175044.95,26785.43,27650.31,33499.03,17614.76,42188.21,226376.64,74687.0,19196.64,76319.77,55282.75,100484.94,25013.97,4112605.5,607163.44,98099.74,14300.34,37378.07,1265885.5,47574.76,83367.19,575958.75,38949.72,7439.33,82719.4,13302.78,177674.3,127373.83,102590.09,5001.22,221096.7,52063.5,91904.62,643072.8,16791.98,37250.0,-0.5,0.8660254,22
42677.62,9969.77,85211.26,71738.31,18805.23,76187.97,1488500.8,174197.45,209057.62,137122.44,165985.4,27398.0,29321.76,207605.64,116386.2,57024.33,529231.2,69422.81,42795.14,69044.84,166032.2,57900.38,307539.8,105100.33,560084.3,11523.98,13924.7,106507.48,351375.84,266908.56,819629.2,1.0,56172.26,103115.27,130687.59,50619.83,5151.22,31198.47,32470.79,30256.91,92087.58,31372.01,174980.97,55837.59,110140.28,86329.83,46297.28,51286.21,180480.27,133240.66,205933.12,120465.42,1395413.5,114056.33,21323.72,182333.08,336657.8,2314778.8,27936.68,35224.86,74201.02,79633.93,106428.13,187328.3,293486.9,47492.77,51738.64,53882.87,31907.12,57027.62,273603.22,114591.5,21633.98,126445.01,80833.91,173683.48,29933.01,5489524.0,953217.75,154000.89,13915.75,52279.66,1928897.5,70608.65,144018.95,746636.44,66048.79,15478.92,107307.54,20821.48,271732.7,191875.52,140842.61,4304.11,314185.8,69570.74,111613.41,882479.56,22746.02,71889.23,-2.4492937e-16,1.0,23
